Day,Node,Demand
317,APLNG,3370.96
317,Adelaide,44.38
317,Brisbane,52.211
317,Melbourne,215.065
317,Sydney,209.315
318,APLNG,3444.791
318,Adelaide,42.06
318,Brisbane,49.252
318,Melbourne,240.875
318,Sydney,211.02800000000002
319,APLNG,3440.942
319,Adelaide,49.401
319,Brisbane,48.918
319,Melbourne,261.716
319,Sydney,219.89
320,APLNG,3472.999
320,Adelaide,49.870999999999995
320,Brisbane,44.067
320,Melbourne,257.481
320,Sydney,211.577
321,APLNG,3447.913
321,Adelaide,41.481
321,Brisbane,35.736
321,Melbourne,225.286
321,Sydney,191.823
322,APLNG,3501.1259999999997
322,Adelaide,39.896
322,Brisbane,38.501
322,Melbourne,180.478
322,Sydney,190.983
323,APLNG,3523.943
323,Adelaide,47.55200000000001
323,Brisbane,52.079
323,Melbourne,232.632
323,Sydney,213.61700000000002
324,APLNG,3513.574
324,Adelaide,51.698
324,Brisbane,53.513
324,Melbourne,259.606
324,Sydney,208.286
325,APLNG,3502.117
325,Adelaide,62.309
325,Brisbane,52.038
325,Melbourne,225.446
325,Sydney,206.81199999999998
326,APLNG,3571.242
326,Adelaide,59.962
326,Brisbane,52.189
326,Melbourne,292.855
326,Sydney,215.296
327,APLNG,3618.089
327,Adelaide,58.499
327,Brisbane,46.584
327,Melbourne,424.155
327,Sydney,208.272
328,APLNG,3599.639
328,Adelaide,48.08
328,Brisbane,36.192
328,Melbourne,310.916
328,Sydney,150.655
329,APLNG,3517.241
329,Adelaide,46.006
329,Brisbane,38.809
329,Melbourne,277.523
329,Sydney,149.56900000000002
330,APLNG,3772.8280000000004
330,Adelaide,53.527
330,Brisbane,51.25
330,Melbourne,266.063
330,Sydney,189.622
331,APLNG,3704.742
331,Adelaide,56.433
331,Brisbane,52.972
331,Melbourne,264.765
331,Sydney,188.263
332,APLNG,3293.691
332,Adelaide,56.8
332,Brisbane,52.63
332,Melbourne,240.433
332,Sydney,210.608
333,APLNG,3686.023
333,Adelaide,53.821
333,Brisbane,53.253
333,Melbourne,234.905
333,Sydney,216.805
334,APLNG,3656.382
334,Adelaide,49.174
334,Brisbane,48.967
334,Melbourne,217.599
334,Sydney,200.843
335,APLNG,3594.132
335,Adelaide,41.202
335,Brisbane,39.786
335,Melbourne,157.123
335,Sydney,174.285
336,APLNG,3561.0370000000003
336,Adelaide,44.485
336,Brisbane,42.441
336,Melbourne,189.585
336,Sydney,168.012
337,APLNG,3527.3720000000003
337,Adelaide,51.943
337,Brisbane,56.836
337,Melbourne,238.949
337,Sydney,196.559
338,APLNG,3625.92
338,Adelaide,50.739000000000004
338,Brisbane,57.379
338,Melbourne,207.46300000000002
338,Sydney,206.567
339,APLNG,3100.2470000000003
339,Adelaide,47.367
339,Brisbane,61.531
339,Melbourne,189.319
339,Sydney,205.90500000000003
340,APLNG,3600.44
