facilityname,facilityid,facilitytype,capacitytype,receiptlocation,ReceiptLocationName,deliverylocation,DeliveryLocationName,capacitydescription,flowdirection,capacityquantity,effectivedate,description,LastUpdated
PCA,550052,PIPE,MDQ,1305050,UGS Receipt,1505088,Pelican Point Delivery - PS,Maximum pipeline capacity achieved under normal operating conditions for flow from Iona Receipt Zone points to the Adelaide Delivery Zone points.,NONE,258.879,01 Apr 2026 00:00:00,Updated PCA Capacity,2026/02/04 15:29:00
Phosphate Hill,544081,BBLARGE,MDQ,-1,,-1,,,NONE,32.000,01 Apr 2026 00:00:00,No change to nameplate capacity for the Facility.,2026/03/09 09:55:58
Dandenong Liquefaction Plant,535025,STOR,MDQ,-1,,-1,,,DELIVERY,6.591,13 Apr 2026 00:00:00,Nameplate Capacity,2026/04/13 17:38:56
Dandenong Liquefaction Plant,535025,STOR,MDQ,-1,,-1,,,RECEIPT,6.591,13 Apr 2026 00:00:00,Nameplate Capacity,2026/04/13 17:38:56
MAPS,550054,PIPE,MDQ,1505013,Moomba Injection,1505035,Pelican Point,MAP Southern Haul Capacity,NONE,252.000,30 Apr 2026 00:00:00,Southern Haul,2026/04/29 17:08:07
SSP,540103,PIPE,MDQ,1404219,Silver Springs Delivery Stream,1404220,Silver Springs Storage,Wallumbilla to Silver Springs,NONE,40.000,04 May 2026 00:00:00,Normal Operation,2026/05/04 11:10:26
SSP,540103,PIPE,MDQ,1404221,Silver Springs Storage,1404218,Wallumbilla1 Delivery Stream,Delivered to RBP at Wallumbilla,NONE,40.000,04 May 2026 00:00:00,Normal Operation,2026/05/04 11:10:26
SSSF,540062,STOR,MDQ,-1,,-1,,,DELIVERY,5.300,04 May 2026 00:00:00,Normal Operation,2026/05/04 11:10:26
SSSF,540062,STOR,MDQ,-1,,-1,,,RECEIPT,25.000,04 May 2026 00:00:00,Normal Operation,2026/05/04 11:10:26
SSSF,540062,STOR,STORAGE,-1,,-1,,,NONE,45000.000,04 May 2026 00:00:00,Normal Operation,2026/05/04 11:10:26
MRP,580100,PIPE,MDQ,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,Forward Haul Capacity,NONE,15.000,10 May 2026 00:00:00,Forward Haul Capacity,2026/05/09 09:21:03
TGP,570050,PIPE,MDQ,1307000,Longford Victoria,1707012,Bell Bay CCGT,TGP Forward Haul Capacity,NONE,129.000,28 May 2026 00:00:00,Standard capacity,2026/05/28 22:02:05
Daandine,540050,PROD,MDQ,-1,,-1,,,NONE,74.340,29 May 2026 00:00:00,Standing Capacity,2026/05/29 13:51:59
Tipton,540051,PROD,MDQ,-1,,-1,,,NONE,37.000,29 May 2026 00:00:00,Standing Capacity,2026/05/29 13:51:33
Snapper Point,555090,BBGPG,MDQ,-1,,-1,,,NONE,39.840,04 Jun 2026 00:00:00,Change,2026/06/04 12:05:08
Adelaide Brighton,555091,BBLARGE,MDQ,-1,,-1,,,NONE,18.000,06 Jun 2026 00:00:00,No change,2026/06/06 12:38:41
ATGP,640013,PIPE,MDQ,1490107,Atlas Processing Facility to Atlas Gas Pipeline,1490032,Atlas Lateral to DDP Delivery point,Atlas Receipt to Atlas Delivery,NONE,54.000,06 Jun 2026 00:00:00,Default Capacity,2026/06/06 18:00:14
Atlas,544261,PROD,MDQ,-1,,-1,,,NONE,48.000,06 Jun 2026 00:00:00,Default Capacity,2026/06/06 18:01:22
BlueScope,523204,BBLARGE,MDQ,-1,,-1,,,NONE,35.000,06 Jun 2026 00:00:00,No change,2026/06/06 11:56:41
ColongraGP,520090,PIPE,MDQ,1202075,Munmorah Compressor Station,1202076,Munmorah Delivery Station,Munmorah Compressor Station to Munmorah Delivery Station,NONE,43.000,06 Jun 2026 00:00:00,Munmorah Compressor Station - Munmorah Delivery Station,2026/06/06 18:00:19
DDP,540097,PIPE,MDQ,1404021,Talinga GPF,1404027,DDPS,Talinga GPF to DDPS,NONE,161.700,06 Jun 2026 00:00:00,Updated Capacity,2026/06/06 18:00:14
DDP,540097,PIPE,MDQ,1404021,Talinga GPF,1404030,Wallumbilla (Run 6),Talinga GPF to Wallumbilla,NONE,414.000,06 Jun 2026 00:00:00,Updated Capacity,2026/06/06 18:00:14
DDP,540097,PIPE,MDQ,1404026,Ruby,1404021,Talinga GPF,Ruby to Talinga GPF,NONE,549.980,06 Jun 2026 00:00:00,Uplift capacity,2026/06/06 18:00:14
DDP,540097,PIPE,MDQ,1404030,Wallumbilla (Run 6),1404021,Talinga GPF,Wallumbilla to Talinga GPF,NONE,284.000,06 Jun 2026 00:00:00,Updated Capacity,2026/06/06 18:00:14
DDP,540097,PIPE,MDQ,1404033,Taloona,1404034,SG Manifold,Taloona to SG Manifold,NONE,40.000,06 Jun 2026 00:00:00,Nameplate Capacity,2026/06/06 18:00:14
DDP,540097,PIPE,MDQ,1404035,SG Manifold,1404030,Wallumbilla (Run 6),SG Manifold to Wallumbilla,NONE,153.500,06 Jun 2026 00:00:00,Updated Capacity,2026/06/06 18:00:14
EGP,520047,PIPE,MDQ,1302000,Longford,1202003,Horsley Park,Longford - Horsley Park,NONE,349.030,06 Jun 2026 00:00:00,EGP winter capacity,2026/06/06 18:00:07
NGP,580050,PIPE,MDQ,1490098,Mt Isa,1808074,Tennant Creek,Mt Isa to Tennant Creek,NONE,60.000,06 Jun 2026 00:00:00,Western Mode Capacity. Nil western mode capacity is available when pipeline is in eastern mode. ,2026/06/06 18:01:18
NGP,580050,PIPE,MDQ,1808028,Phillip Creek,1404296,Mt Isa,Tennant Creek to Mt Isa,NONE,90.000,06 Jun 2026 00:00:00,Eastern Mode Capacity,2026/06/06 18:01:18
Orica (Kooragang Island),523206,BBLARGE,MDQ,-1,,-1,,,NONE,42.000,06 Jun 2026 00:00:00,No Change,2026/06/06 11:44:42
QGP,540058,PIPE,MDQ,1404003,Wallumbilla SWQP to QGP Receipt Point,1404009,Gladstone,Wallumbilla - Gladstone,NONE,145.000,06 Jun 2026 00:00:00,Summer Capacity,2026/06/06 18:01:09
QGP,540058,PIPE,MDQ,1404009,Gladstone,1404004,Wallumbilla QGP to RBP Delivery Point,Gladstone - Wallumbilla,NONE,33.000,06 Jun 2026 00:00:00,Capacity effective from 13 March 2026,2026/06/06 18:01:09
RNP,640009,PIPE,MDQ,1490103,Roma North Gas Pipeline Receipt Point,1490028,Roma North Gas Pipeline Delivery Point,Roma North to CRWP,NONE,52.600,06 Jun 2026 00:00:00,Default Capacity,2026/06/06 18:01:13
Roma North,544260,PROD,MDQ,-1,,-1,,,NONE,24.000,06 Jun 2026 00:00:00,Default Capacity,2026/06/06 18:01:20
RPL,540110,PIPE,MDQ,1404291,SWQP Receipt (Gate Station),1404292,Roma Power Station Offtake,FULL CAPACITY AVAILABLE,NONE,19.200,06 Jun 2026 00:00:00,NO CHANGES TO CAPACITY,2026/06/06 16:30:57
RPL,540110,PIPE,MDQ,1404291,SWQP Receipt (Gate Station),1404293,Roma Township Offtake,FULL CAPACITY AVAILABLE,NONE,19.200,06 Jun 2026 00:00:00,NO CHANGES TO CAPACITY,2026/06/06 16:30:57
VicHub,532005,PIPE,MDQ,1390011,Eastern Gas Pipeline - Receipt,1390013,Victorian Transmission System - Delivery,Eastern Gas Pipeline - Declared Transmission System,NONE,150.000,06 Jun 2026 00:00:00,Nameplate Rating,2026/06/06 18:01:26
AGP,580010,PIPE,MDQ,1808012,Palm Valley,1808003,Channel Island LP,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,165.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
Atlas to Reedy Creek Pipeline,640007,PIPE,MDQ,1490101,Atlas East Central Processing Facility,1490100,Reedy Creek to Wallumbilla Pipeline,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,189.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
BGP,580020,PIPE,MDQ,1808018,Wadeye Delivery Stream,1808020,Ban Ban Springs Delivery Stream,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,108.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
BWP,540096,PIPE,MDQ,1404069,Berwyndale Entry Delivery Stream,1404073,Silver Springs Delivery Stream,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,164.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
BWP,540096,PIPE,MDQ,1404071,BWP from SWQP (Wallumbilla) Delivery Stream,1404070,Berwyndale Exit Delivery Stream,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,276.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
CGP,540059,PIPE,MDQ,1404225,CGP NGP Entry Delivery Stream,1404074,CGP Ballera Exit,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,65.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
CGP,540059,PIPE,MDQ,1404227,CGP Ballera Entry,1404079,Mt Isa Mines Delivery Stream,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,119.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
CWP,520054,PIPE,MDQ,1202071,Marsden Delivery Stream,1202062,Dubbo Delivery Stream,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,13.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
Dandenong LNG,530038,STOR,MDQ,-1,,-1,,,DELIVERY,237.168,07 Jun 2026 00:00:00,Maximum storage facility capacity achieved under normal operating conditions,2026/06/01 01:18:22
Dandenong LNG,530038,STOR,MDQ,-1,,-1,,,RECEIPT,8.235,07 Jun 2026 00:00:00,Maximum storage facility capacity achieved under normal operating conditions,2026/06/01 01:18:22
Dandenong LNG,530038,STOR,STORAGE,-1,,-1,,,NONE,680.760,07 Jun 2026 00:00:00,Maximum storage facility capacity achieved under normal operating conditions,2026/06/01 01:18:22
KKLP,523209,PIPE,MDQ,1290159,KKLP Lenaghan Entry Delivery Stream,1290160,KKLP Lenaghan Exit Delivery Stream,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,60.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
KKLP,523209,PIPE,MDQ,1290159,KKLP Lenaghan Entry Delivery Stream,1290161,KKSP HPS Exit Delivery Stream,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,52.800,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
Kogan North,540061,PROD,MDQ,-1,,-1,,,NONE,13.000,07 Jun 2026 00:00:00,Maximum production facility capacity achieved under normal operating conditions,2026/06/01 01:18:22
MCF,550050,COMPRESSOR,MDQ,-1,,-1,,Maximum compression facility capacity achieved under normal operating conditions,NONE,360.000,07 Jun 2026 00:00:00,Maximum compression facility capacity achieved under normal operating conditions,2026/06/01 01:18:22
MSP,520053,PIPE,MDQ,1202025,Culcairn North Delivery Stream,1202054,Young Delivery Stream,"Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified, independent of flows on mainline MSP between Moomba and Wilton",NONE,200.000,07 Jun 2026 00:00:00,"Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified, independent of flows on mainline MSP between Moomba and Wilton",2026/06/01 01:18:22
MSP,520053,PIPE,MDQ,1202038,MSP EGP Entry DS,1502057,MSP SWQP Exit Delivery Stream,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,193.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
MSP,520053,PIPE,MDQ,1202054,Young Delivery Stream,1202026,Culcairn South Delivery Stream,"Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified, independent of flows on mainline MSP between Moomba and Wilton",NONE,195.000,07 Jun 2026 00:00:00,"Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified, independent of flows on mainline MSP between Moomba and Wilton",2026/06/01 01:18:22
MSP,520053,PIPE,MDQ,1502045,MSP Inlet Delivery Stream,1202052,Wilton Delivery Stream,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,590.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
RBP,540057,PIPE,MDQ,1404091,Kogan North Delivery Stream,1404097,Wallumbilla3 Exit Delivery Stream,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,125.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
RBP,540057,PIPE,MDQ,1404107,Wallumbilla1 Delivery Stream,1404090,Gibson Island Delivery Stream,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,167.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
RCWP,540102,PIPE,MDQ,1404213,RCWP Entry Delivery Steam,1404214,RCWP to SWQP (Wallumbilla) Exit Delivery Stream,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,520.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
RCWP,540102,PIPE,MDQ,1404215,RCWP from SWQP (Wallumbilla) Entry Delivery Stream,1404212,RCWP Exit Delivery Steam,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,300.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
SESA,550060,PIPE,MDQ,1305075,SESA Poolaijelo Inlet Station Delivery Stream,1505074,SESA South East Pipeline Delivery Stream,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,40.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
SWQP,540060,PIPE,MDQ,1404217,SWQP from RCWP (Wallumbilla) Entry Delivery Stream,1504233,SWQP MAPS Delivery Stream,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,512.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
SWQP,540060,PIPE,MDQ,1504232,Moomba Delivery Stream,1404216,SWQP to RCWP (Wallumbilla) Exit Delivery Stream,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,340.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
WCFA,540045,COMPRESSOR,MDQ,-1,,-1,,Maximum compression facility capacity achieved under normal operating conditions,NONE,319.000,07 Jun 2026 00:00:00,Maximum compression facility capacity achieved under normal operating conditions,2026/06/01 01:18:22
WCFB,540046,COMPRESSOR,MDQ,-1,,-1,,Maximum compression facility capacity achieved under normal operating conditions,NONE,550.000,07 Jun 2026 00:00:00,Maximum compression facility capacity achieved under normal operating conditions,2026/06/01 01:18:22
WPP,580030,PIPE,MDQ,1808021,Darwin City Gate Entry DS,1808024,Bladin Point Exit DS,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,70.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
WPP,580030,PIPE,MDQ,1808025,Wickham Point Entry DS,1808022,Darwin City Gate Exit DS,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,NONE,100.000,07 Jun 2026 00:00:00,Maximum pipeline capacity achieved under normal operating conditions for the direction of flow specified,2026/06/01 01:18:22
