facilityname,facilityid,facilitytype,capacitytype,receiptlocation,ReceiptLocationName,deliverylocation,DeliveryLocationName,capacitydescription,flowdirection,capacityquantity,effectivedate,description,LastUpdated
Whyalla Steelworks,555085,BBLARGE,MDQ,-1,,-1,,,NONE,35.000,01 Apr 2025 00:00:00,Maximum Capacity of the Whyalla Steelworks,2025/02/12 13:17:46
ADELAIDE METROPOLITAN DISTRIBUTION Blended-NETWORK,555293,BDIST,MDQ,-1,,-1,,,NONE,419.100,30 Jun 2025 00:00:00,New BB blended gas distribution system.  Reporting blend in part of network receiving hydrogen from HyPSA at Tonsley (MDQ 1.3 TJ),2025/06/30 10:53:06
Longford,530040,PROD,MDQ,-1,,-1,,,NONE,720.000,07 Jul 2025 00:00:00,Improved plant performance,2025/07/07 09:24:53
Hunter Power Station,523210,BBGPG,MDQ,-1,,-1,,,NONE,165.600,30 Jul 2025 00:00:00,Kurri Kurri (HUNTER) Power Station,2025/07/30 13:23:17
Tanami GP,580210,PIPE,MDQ,1808047,Amadeus Gas Pipeline Receipt Point,1808061,Dead Bullock Soak Power Station Outlet Point,Amadeus to Dead Bullock Soak,NONE,6.630,15 Dec 2025 00:00:00,Amadeus Pipeline Receipt to Dead Bullocks Soak,2025/12/15 13:08:04
Tanami GP,580210,PIPE,MDQ,1808047,Amadeus Gas Pipeline Receipt Point,1808071,Granites Power Station Outlet Point,Amadeus to Granites,NONE,3.440,15 Dec 2025 00:00:00,Amadeus Pipeline Receipt to Granites,2025/12/15 13:08:04
Yarwun,544282,BBGPG,MDQ,-1,,-1,,,NONE,118.000,17 Dec 2025 00:00:00,The 2018 GMRG published Yarwun station capacity is 118TJ/d,2025/12/17 08:27:17
Orbost,530041,PROD,MDQ,-1,,-1,,,NONE,71.000,29 Jan 2026 00:00:00,Increase in nameplate capacity,2026/01/29 16:09:55
MPL,530061,PIPE,MDQ,1305069,MIJ-001 - MPL,1305071,Mortlake PRMS Delivery,Maximum pipeline capacity achieved under normal operating conditions for flow from MIJ-001 Receipt point to Mortlake PRMS Delivery point.,NONE,150.000,04 Feb 2026 00:00:00,Initial Nameplate Capacity Rating,2026/02/04 15:29:03
PCI,530060,PIPE,MDQ,1305053,Athena (PCI) Receipt,1305059,SWP Delivery,Maximum pipeline capacity achieved under normal operating conditions for West to East flow from Minerva East Receipt point to SWP Delivery point. Capacity is limited by operating pressures.,NONE,400.000,04 Feb 2026 00:00:00,Initial Nameplate Capacity Rating,2026/02/04 15:29:02
PCI,530060,PIPE,MDQ,1305058,SWP Receipt,1305054,Athena (PCI) Delivery,Maximum pipeline capacity achieved under normal operating conditions for East to West flow from SWP Receipt point to Minerva East Delivery point. Capacity is limited by operating pressures.,NONE,400.000,04 Feb 2026 00:00:00,Initial Nameplate Capacity Rating,2026/02/04 15:29:02
Condamine Power Station,544274,BBGPG,MDQ,-1,,-1,,,NONE,24.000,19 Feb 2026 00:00:00,This is maximum quantity of natural gas that the Condamine Power Station (Large User facility) can receive from a pipeline on a gas day,2026/02/19 13:49:41
Australian Paper (Opal),535021,BBLARGE,MDQ,-1,,-1,,,NONE,30.000,27 Feb 2026 00:00:00,No Change,2026/02/27 12:02:45
Lang Lang,530039,PROD,MDQ,-1,,-1,,,NONE,67.000,06 Mar 2026 00:00:00,nameplate,2026/03/06 09:57:13
